Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.5163483737283309,0.7250325650325646,0.7250325650325646,0.603149886010539,0.664037173114329,0.8293966797138616,0.8293966797138616,0.7375622636980137,6145,6145,3109,1264,9257,1024001045544,00:17:04
CLASSES,0.5576159827390954,0.7155249234196597,0.7155249234196595,0.6267776511097625,0.7145023696682464,0.8490651047533229,0.8490651047533229,0.7759934115709286,3769,3769,1506,670,5276,-,-
PROPERTIES,0.468112454176516,0.8669973544973543,0.8669973544973544,0.6079683584699686,0.5971349585322946,0.8,0.8,0.6838394013527126,2376,2376,1603,594,3981,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
