Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.43137012012012,0.5484215357598979,0.5484215357598976,0.48290401808887784,0.45318791946308723,0.6161040145985401,0.6161040145985401,0.5222351121423047,2701,2701,3259,1683,5960,690022123500,00:11:30
CLASSES,0.5175993153060869,0.6202278325123151,0.6202278325123152,0.5642851852457104,0.5350125944584383,0.6905071521456437,0.6905071521456437,0.602895259721828,1062,1062,923,476,1985,-,-
PROPERTIES,0.3882404856115808,0.49187853107344626,0.49187853107344637,0.43395758106703486,0.41232704402515724,0.59427121102248,0.59427121102248,0.4868557849398485,1639,1639,2336,1119,3975,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
