Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.4071633752356283,0.47387034860095206,0.47387034860095206,0.43799152141475944,0.4420443587270974,0.5228102189781022,0.5228102189781022,0.479046922353433,2292,2292,2893,2092,5185,564149030243,00:09:24
CLASSES,0.46885969671889655,0.5325773125342087,0.532577312534209,0.49869145023986894,0.4859913793103448,0.5864759427828349,0.5864759427828349,0.5315262227460223,902,902,954,636,1856,-,-
PROPERTIES,0.3711827356687161,0.42910389202762084,0.42910389202762084,0.3980472771046771,0.41754280564734153,0.5039883973894126,0.5039883973894126,0.4567110234926893,1390,1390,1939,1368,3329,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
