Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.27693864850613403,0.47771101599179877,0.4777110159917987,0.3506173774907266,0.4023879671266863,0.656076184055284,0.656076184055284,0.4988306154486912,7785,7785,11562,4081,19351,7347247905662,02:02:27
CLASSES,0.3676525078406346,0.4928602545271265,0.49286025452712673,0.42114728918902594,0.5095874491574666,0.6831991690470007,0.6831991690470007,0.5837585977368538,5262,5262,5064,2440,10326,-,-
PROPERTIES,0.19054499943249995,0.37273565307146855,0.3727356530714684,0.2521759427995801,0.27968074492850015,0.6189892051030422,0.6189892051030422,0.3852790715431015,2523,2523,6498,1553,9025,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
