Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.5235461212759642,0.5079476518054103,0.5079476518054105,0.5156289448447829,0.6330510649217347,0.562728102189781,0.562728102189781,0.5958217606569255,2467,2467,1430,1917,3897,578296497186,00:09:38
CLASSES,0.5947189234580716,0.5954536124794745,0.5954536124794747,0.5950860412083909,0.6486310299869622,0.6469440832249674,0.6469440832249674,0.6477864583333334,995,995,539,543,1534,-,-
PROPERTIES,0.4612369379045509,0.4255335844318895,0.42553358443188954,0.4426665129593627,0.6229369445619974,0.5337200870195794,0.5337200870195794,0.5748877172427259,1472,1472,891,1286,2363,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
