Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.5628347507726885,0.5082061636479741,0.508206163647974,0.5341272879620507,0.6592209207300463,0.552007299270073,0.552007299270073,0.6008690254500311,2420,2420,1251,1964,3671,606087505323,00:10:06
CLASSES,0.6586980196246395,0.6305966064586754,0.6305966064586753,0.644341064413164,0.7163265306122449,0.6846553966189857,0.6846553966189857,0.7001329787234042,1053,1053,417,485,1470,-,-
PROPERTIES,0.4845944910583922,0.4070543000627745,0.40705430006277465,0.44245284317386574,0.6210813266696956,0.4956490210297317,0.4956490210297317,0.5513208308126638,1367,1367,834,1391,2201,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
