Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.5218805473080936,0.5091830662951353,0.5091830662951353,0.51545362247722,0.6089887640449438,0.5563412408759124,0.5563412408759124,0.5814757420431518,2439,2439,1566,1945,4005,291768556214,00:04:51
CLASSES,0.6508230144341257,0.610125889436234,0.6101258894362344,0.6298177020946389,0.7030260380014075,0.6495448634590377,0.6495448634590377,0.6752281176072998,999,999,422,539,1421,-,-
PROPERTIES,0.4400714680717085,0.4055241682360326,0.40552416823603277,0.42209209317452495,0.5572755417956656,0.5221174764321972,0.5221174764321972,0.5391239236241108,1440,1440,1144,1318,2584,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
