Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.46756648694148695,0.5895339893184721,0.5895339893184721,0.5215139762181924,0.49144295302013424,0.6681113138686131,0.6681113138686131,0.5663186388244393,2929,2929,3031,1455,5960,448068817213,00:07:28
CLASSES,0.5523029049848973,0.6848419540229886,0.6848419540229886,0.6114727760591521,0.5554484088717454,0.7490247074122237,0.7490247074122237,0.6378737541528239,1152,1152,922,386,2074,-,-
PROPERTIES,0.42120925480733934,0.4910938480853737,0.4910938480853735,0.45347488819586956,0.457282552753474,0.6443074691805656,0.6443074691805656,0.5349187236604456,1777,1777,2109,981,3886,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
