Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.5420078094339297,0.41776330111459414,0.41776330111459425,0.47184369108505375,0.6355109961190168,0.448220802919708,0.448220802919708,0.5256821829855538,1965,1965,1127,2419,3092,299681922821,00:04:59
CLASSES,0.6909328417418054,0.5143712370005472,0.5143712370005473,0.5897200329096467,0.7456140350877193,0.552665799739922,0.552665799739922,0.6348020911127707,850,850,290,688,1140,-,-
PROPERTIES,0.44112237011572486,0.3352558066541118,0.33525580665411175,0.38097113095481505,0.5712090163934426,0.40427846265409717,0.40427846265409717,0.4734607218683652,1115,1115,837,1643,1952,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
