Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
fine (pattern_en) 50-50 NOreasoner, 0.5 pattern_en,0.5192073841952562,0.7025702975702974,0.7025702975702975,0.5971293990042852,0.6844827586206896,0.8573356728303415,0.8573356728303415,0.7612199652465697,6352,6352,2928,1057,9282,1245687380217,00:20:45
fine (sequence) 50-50 NOreasoner, 0.45 sequence,0.5064701906299391,0.7360132210132209,0.736013221013221,0.6000382022963866,0.6387450817974736,0.8326359832635983,0.8326359832635983,0.7229155680553114,6169,6169,3489,1240,9664,1067010865695,00:17:47
fine (sequence) 50-50 NOreasoner, 0.55 sequence,0.517946438619993,0.6806247806247807,0.6806247806247807,0.5882456970446003,0.6894633128549902,0.810906612133606,0.810906612133606,0.7452700162886856,5948,5948,2679,1387,8630,950246705300,00:15:50
fine (sequence) 50-50 NOreasoner, 0.5 sequence,0.5163483737283309,0.7250325650325646,0.7250325650325646,0.603149886010539,0.664037173114329,0.8293966797138616,0.8293966797138616,0.7375622636980137,6145,6145,3109,1264,9257,1024001045544,00:17:04
fine (sequence) 50-50 NOreasoner, 0.75 sequence,0.5374371484988786,0.507748332748333,0.5077483327483333,0.5221710806424424,0.7927200731038684,0.70252395734917,0.70252395734917,0.744901610017889,5205,5205,1361,2204,6568,959207612085,00:15:59
