Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.3839117526617526,0.4914291985951468,0.49142919859514694,0.43106733363935307,0.40318791946308724,0.5481295620437956,0.5481295620437956,0.46461716937354985,2403,2403,3557,1981,5960,588144147922,00:09:48
CLASSES,0.4433920696516482,0.5407361795292829,0.5407361795292829,0.4872497745625319,0.4498286833088595,0.5975292587776333,0.5975292587776333,0.5132644512705948,919,919,1124,619,2043,-,-
PROPERTIES,0.3523159689727592,0.45123195229127444,0.45123195229127444,0.3956857289927156,0.37886137350012766,0.5380710659898477,0.5380710659898477,0.44464419475655426,1484,1484,2433,1274,3917,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
