Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.5319131425902213,0.5467362199582027,0.5467362199582027,0.5392228300006257,0.6295289855072463,0.6341240875912408,0.6341240875912408,0.6318181818181817,2780,2780,1636,1604,4416,590358173881,00:09:50
CLASSES,0.6604007936924657,0.65099890530925,0.6509989053092498,0.6556661467688694,0.7380645161290322,0.7438231469440832,0.7438231469440832,0.7409326424870466,1144,1144,406,394,1550,-,-
PROPERTIES,0.4624700129128031,0.4703782172002511,0.47037821720025114,0.4663905942258961,0.5708304256803908,0.593183466279913,0.593183466279913,0.5817923186344239,1636,1636,1230,1122,2866,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
