Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.5362585734093581,0.5537486938349008,0.5537486938349006,0.5448633114785563,0.632583503749148,0.635036496350365,0.635036496350365,0.633807626636312,2784,2784,1617,1600,4401,645276828401,00:10:45
CLASSES,0.676522072330314,0.6610187465790914,0.6610187465790917,0.668680560567121,0.7522935779816514,0.7464239271781534,0.7464239271781534,0.7493472584856398,1148,1148,378,390,1526,-,-
PROPERTIES,0.46185626128020524,0.47037821720025097,0.4703782172002511,0.4660782878098854,0.5690434782608695,0.593183466279913,0.593183466279913,0.5808627729451448,1636,1636,1239,1122,2875,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
