Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.27696815251320844,0.4795876328696926,0.4795876328696924,0.35114529083106455,0.40126179729175215,0.6592786111579302,0.6592786111579302,0.4988839997449142,7823,7823,11673,4043,19497,6924265126490,01:55:24
CLASSES,0.3656998885671311,0.49495614920269376,0.4949561492026935,0.4206219457382108,0.5066526275485785,0.6872240976369774,0.6872240976369774,0.5832828255000276,5293,5293,5154,2409,10447,-,-
PROPERTIES,0.19090079958735232,0.37456517706171405,0.3745651770617138,0.2529057264325418,0.2795889048513648,0.6207065750736016,0.6207065750736016,0.38552380952380955,2530,2530,6519,1546,9050,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
