Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.353459959362084,0.572199545603823,0.572199545603823,0.4369849324748829,0.4811456830826293,0.5903421540535985,0.5903421540535985,0.5301797540208136,7005,7005,7554,4861,14563,1825841940381,00:30:25
CLASSES,0.48208879571997826,0.6011475855094126,0.6011475855094123,0.5350752994822737,0.6021820741435946,0.6664502726564528,0.6664502726564528,0.6326882780722297,5133,5133,3391,2569,8526,-,-
PROPERTIES,0.19945980563913024,0.2914406040211307,0.29144060402113076,0.23683290985084385,0.31019055509527754,0.4592737978410206,0.4592737978410206,0.37028978340421326,1872,1872,4163,2204,6037,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
