Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.517946438619993,0.6806247806247807,0.6806247806247807,0.5882456970446003,0.6894633128549902,0.810906612133606,0.810906612133606,0.7452700162886856,5948,5948,2679,1387,8630,950246705300,00:15:50
CLASSES,0.5593123778403438,0.6668571868618068,0.6668571868618068,0.6083685154168718,0.7423749491663277,0.8295841854124063,0.8295841854124063,0.7835604678613585,3651,3651,1267,750,4919,-,-
PROPERTIES,0.4718260004658541,0.8532632792409327,0.853263279240933,0.6076447927760962,0.6193043947155568,0.7828902522154055,0.7828902522154055,0.6915550203221436,2297,2297,1412,637,3711,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
