Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.5135279004352242,0.5528534265064438,0.5528534265064438,0.532465549029261,0.5931718061674008,0.614279197080292,0.614279197080292,0.6035410129986553,2693,2693,1847,1691,4540,583629486468,00:09:43
CLASSES,0.6042970900645481,0.6580220306513413,0.658022030651341,0.630016280028238,0.6467836257309941,0.7191157347204161,0.7191157347204161,0.6810344827586207,1106,1106,604,432,1710,-,-
PROPERTIES,0.45137161637421624,0.4588433772755807,0.4588433772755807,0.45507682977845526,0.5607773851590107,0.5754169688179841,0.5754169688179841,0.568002863278454,1587,1587,1243,1171,2830,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
