Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.5374371484988786,0.507748332748333,0.5077483327483333,0.5221710806424424,0.7927200731038684,0.70252395734917,0.70252395734917,0.744901610017889,5205,5205,1361,2204,6568,959207612085,00:15:59
CLASSES,0.5528520990180302,0.4743450889127579,0.47434508891275795,0.5105985124289147,0.8393605870020965,0.7215589096643388,0.7215589096643388,0.776014536644458,3203,3203,613,1236,3816,-,-
PROPERTIES,0.5192772259981978,0.8013888888888887,0.8013888888888889,0.6302016754682604,0.728,0.674074074074074,0.674074074074074,0.7,2002,2002,748,968,2752,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
