Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.5192073841952562,0.7025702975702974,0.7025702975702975,0.5971293990042852,0.6844827586206896,0.8573356728303415,0.8573356728303415,0.7612199652465697,6352,6352,2928,1057,9282,1245687380217,00:20:45
CLASSES,0.5444265937716591,0.6709845049130763,0.6709845049130757,0.6011164599018436,0.7156226126814362,0.8441090335661185,0.8441090335661185,0.7745736434108527,3747,3747,1489,692,5236,-,-
PROPERTIES,0.4917321729680431,0.9046516754850089,0.9046516754850091,0.6371404748891016,0.6441641938674579,0.877104377104377,0.877104377104377,0.7428001140575992,2605,2605,1439,365,4046,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
