Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.30895627108315593,0.6074664539417913,0.6074664539417907,0.4095938812797433,0.40887070728819036,0.640148322939491,0.640148322939491,0.4990145841545132,7596,7596,10982,4270,18579,1799542108334,00:29:59
CLASSES,0.4157052689454491,0.642680903560246,0.6426809035602457,0.5048551177272277,0.519874177866743,0.7081277590236302,0.7081277590236302,0.5995712636728413,5454,5454,5037,2248,10491,-,-
PROPERTIES,0.182656404483225,0.33072009376489664,0.3307200937648966,0.23533661327930522,0.26486954371213056,0.5255152109911678,0.5255152109911678,0.35221573624928054,2142,2142,5945,1934,8088,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
