Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.5064701906299391,0.7360132210132209,0.736013221013221,0.6000382022963866,0.6387450817974736,0.8326359832635983,0.8326359832635983,0.7229155680553114,6169,6169,3489,1240,9664,1067010865695,00:17:47
CLASSES,0.547695283420412,0.7276077097505668,0.7276077097505664,0.6249609903601724,0.688285662233558,0.8510925884208155,0.8510925884208155,0.7610797743755037,3778,3778,1711,661,5489,-,-
PROPERTIES,0.45840070424681545,0.8647045855379185,0.8647045855379188,0.5991680239454303,0.5735188294555049,0.805050505050505,0.805050505050505,0.669841714525844,2391,2391,1778,579,4175,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
