Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.2535719342204753,0.5429542850509843,0.5429542850509842,0.3456960108095378,0.31556975505857293,0.624304736221136,0.624304736221136,0.41922978976259867,7408,7408,16067,4458,23483,5565827777488,01:32:45
CLASSES,0.3170529042331026,0.5640390739826224,0.5640390739826224,0.40592862250155637,0.3768433789609015,0.6469748117372112,0.6469748117372112,0.4762724014336917,4983,4983,8240,2719,13223,-,-
PROPERTIES,0.17911327680637895,0.3667722234240119,0.3667722234240121,0.24068701129196532,0.23653921186110027,0.594946025515211,0.594946025515211,0.33849804578447795,2425,2425,7827,1651,10260,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
