Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.25437558792085474,0.41852363148349964,0.41852363148349975,0.316428349884626,0.36669224129663375,0.6444463172088319,0.6444463172088319,0.46742053789731053,7647,7647,13207,4219,20857,6494177103880,01:48:14
CLASSES,0.31425794317876043,0.4304662521746337,0.4304662521746341,0.36329540482319567,0.4459107483938184,0.6668397818748377,0.6668397818748377,0.5344432882414151,5136,5136,6382,2566,11519,-,-
PROPERTIES,0.18949251544661694,0.3706019311177185,0.3706019311177189,0.25076589345830547,0.2689588688946015,0.616045142296369,0.616045142296369,0.374440799284223,2511,2511,6825,1565,9338,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
