Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.2768304100929035,0.476685453887881,0.47668545388788064,0.3502541512210793,0.40216665810956514,0.6601213551323108,0.6601213551323108,0.49982452222186774,7833,7833,11644,4033,19480,6369966931286,01:46:09
CLASSES,0.3657413282127015,0.49322037649733014,0.49322037649733014,0.42002122938088066,0.5081277490916045,0.6899506621656712,0.6899506621656712,0.5852422907488987,5314,5314,5144,2388,10459,-,-
PROPERTIES,0.19044371933745213,0.3733196183822298,0.3733196183822298,0.25222064603889194,0.2792992571238497,0.6180078508341511,0.6180078508341511,0.3847269950362734,2519,2519,6500,1557,9021,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
