Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.5360035813582855,0.5532752089864157,0.5532752089864158,0.5445024655251525,0.6321891338940668,0.6343521897810219,0.6343521897810219,0.6332688147557783,2781,2781,1618,1603,4399,622267577031,00:10:22
CLASSES,0.6759469016162546,0.6595819649698959,0.6595819649698957,0.6676641692111299,0.7518056467498359,0.7444733420026007,0.7444733420026007,0.7481215289121201,1145,1145,378,393,1523,-,-
PROPERTIES,0.46185626128020524,0.4703782172002511,0.4703782172002511,0.4660782878098854,0.56884561891516,0.593183466279913,0.593183466279913,0.5807596734114306,1636,1636,1240,1122,2876,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
