Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.45252517893387245,0.5341734514687102,0.5341734514687102,0.4899711609186594,0.4920844327176781,0.5955748175182481,0.5955748175182481,0.5389060887512901,2611,2611,2695,1773,5306,751934938221,00:12:31
CLASSES,0.5439377435405857,0.6058258073344283,0.6058258073344283,0.5732161579993669,0.5736520289049472,0.6710013003901171,0.6710013003901171,0.6185196284087504,1032,1032,767,506,1799,-,-
PROPERTIES,0.4039251638160193,0.4777542372881356,0.47775423728813554,0.43774859278494294,0.45024237239806103,0.5725163161711385,0.5725163161711385,0.5040702314445332,1579,1579,1928,1179,3507,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
