Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.27051438951928736,0.5156564308979402,0.5156564308979402,0.3548655864180282,0.3551181505971603,0.583853025450868,0.583853025450868,0.44162549800796813,6928,6928,12581,4938,19518,5554667931930,01:32:34
CLASSES,0.3375501079802889,0.5345395141945747,0.5345395141945747,0.41379662398948003,0.40966536133855463,0.5976369774084653,0.5976369774084653,0.4861125778857324,4603,4603,6633,3099,11239,-,-
PROPERTIES,0.18885024386147062,0.3592004949103927,0.3592004949103925,0.24755044108142796,0.2810346911640276,0.5704121687929342,0.5704121687929342,0.3765487083974411,2325,2325,5948,1751,8279,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
