Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.4382299913549914,0.55335140195054,0.55335140195054,0.48910796779813837,0.46057046979865773,0.6261405109489051,0.6261405109489051,0.5307424593967518,2745,2745,3215,1639,5960,565795071612,00:09:25
CLASSES,0.5001078219708485,0.6190920908593321,0.6190920908593323,0.5532752345845074,0.5028901734104047,0.6788036410923277,0.6788036410923277,0.5777531820697288,1044,1044,1032,494,2076,-,-
PROPERTIES,0.4038361240598136,0.4836001255492783,0.48360012554927817,0.44013347523878055,0.4379505664263646,0.616751269035533,0.616751269035533,0.5121951219512196,1701,1701,2183,1057,3884,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
