Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.37254158837075824,0.8116517886144977,0.8116517886144977,0.5106835630244817,0.5078366825529406,0.8710601719197708,0.8710601719197708,0.6416089884850554,10336,10336,10017,1530,20359,2892645420621,00:48:12
CLASSES,0.5142720316355547,0.8293178230845039,0.8293178230845039,0.6348588600173748,0.6318861729295877,0.8995066216567126,0.8995066216567126,0.7423122254366227,6928,6928,4036,774,10968,-,-
PROPERTIES,0.2322537019696743,0.6016318108064982,0.6016318108064977,0.3351328525119344,0.36297795292363405,0.8361138370951914,0.8361138370951914,0.5062012625324918,3408,3408,5981,668,9391,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
